Year,Country Name,Population,GDP PPP 2017,GDP PPP/capita 2017,Region,Income Group,gdp_ppp_2017_log,gdp_ppp_2017_squared,gdp_ppp_2017_growth,gdp_ppp_2017_relative_change,gdp_ppp_per_capita_2017_log,gdp_ppp_per_capita_2017_squared,gdp_ppp_per_capita_2017_growth,gdp_ppp_per_capita_2017_relative_change,population_log,population_squared,population_growth,population_relative_change,income_group_ordinal,economic_stage,population_stage,gdp_ppp_per_capita_2017_relative_position,gdp_ppp_per_capita_2017_momentum,population_relative_position,population_momentum,gdp_ppp_2017_relative_position,gdp_ppp_2017_momentum,high_error_economic_volatility,high_error_population_growth_stability,high_error_region,high_error_region_time,high_error_region_time_squared,high_error_development_phase,high_error_region_stability,MSW,MSW_log
1990.0,Spain,38867322.0,1070531260212.73,27543.22,Europe & Central Asia,High income,27.699176146057248,767.2443591703069,0.0,0.0,10.223547992206909,104.52093354895791,0.0,0.0,17.47566442986243,305.39884726515896,0.0,0.0,4.0,2,4,0.2528532903678193,0.0,0.9817709507378752,0.0,1.0329629559446738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12924741.56,16.374654060172006
1991.0,Spain,38966376.0,1097786992357.45,28172.67,Europe & Central Asia,High income,27.724317444165667,768.6377777448687,0.0254600058472873,0.7071067811865476,10.246143132824844,104.98344909833368,0.022853174029761,0.7071067811865476,17.478209704042538,305.48781445848675,0.0025485162059788,0.7071067811865476,4.0,2,4,0.4454536002698023,0.022853174029761,0.9719414001833786,0.0025485162059788,1.1066766474931555,0.0254600058472873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15552061.65,16.559703834095025
1992.0,Spain,39157685.0,1107987797228.08,28295.54,Europe & Central Asia,High income,27.73356669086184,769.1507213964812,0.0092921531605365,0.8203521266877528,10.250494814672686,105.07264394563164,0.0043613189662181,0.7228447840399621,17.483107282971556,305.65904026789303,0.0049095917978105,1.0877579348450883,4.0,2,4,0.5510431925451152,0.0136072464979896,1.0064975444219246,0.0037290540018947,1.1716753971651583,0.0173760795039119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14164920.0,16.46627911410448
1993.0,Spain,39361262.0,1096558994742.24,27858.84,Europe & Central Asia,High income,27.723198206132448,768.5757187765054,-0.0103149172891905,0.2093474766439789,10.234941504316588,104.7540275967823,-0.0154335276866954,-0.3222467033973801,17.48829271804814,305.8403821921356,0.005198902846274,1.2507956399886675,4.0,2,4,0.559298436874219,0.0039269884364279,1.0101152943482037,0.0042190036166878,1.1805160879919003,0.0081457472395444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16503062.16,16.619056567701318
1994.0,Spain,39549108.0,1122692137456.1,28387.29,Europe & Central Asia,High income,27.746750611141856,769.8821694769009,0.023831953263949,1.234297854469419,10.253732015176745,105.13902023906054,0.0189688443596358,0.9668342034491092,17.49305372347916,306.0069285725281,0.0047723571464757,1.3182593127740103,4.0,2,4,0.6756778590482161,0.0026322118797195,1.042564160463752,0.0049602839301867,1.2232051662040573,0.0076030630450983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18529447.76,16.734871849303126
1995.0,Spain,39724050.0,1153650306301.18,29041.61,Europe & Central Asia,High income,27.77395221062457,771.3924213980578,0.0275749404598375,1.619327950325594,10.27651934093318,105.60684976457374,0.0230497521954367,1.6185100307019384,17.497467380863185,306.1613647443712,0.0044234120273964,1.3546453460447203,4.0,2,4,0.9103598577797216,0.0088616896227923,1.1568907354894016,0.0047982240067154,1.4606235817234032,0.0136973254781986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20076000.0,16.81503567956768
1996.0,Spain,39889852.0,1184343883398.47,29690.36,Europe & Central Asia,High income,27.8002100522806,772.851678950923,0.0266056160429579,1.69380492982625,10.298611373377623,106.06139621986296,0.0223386375617604,1.7403958693380157,17.50163253874068,306.30714152110653,0.0041738443084227,1.3791784518814525,4.0,2,4,0.8949059012263273,0.0214524113722776,1.1621234831062683,0.0044565378274316,1.4811864447870884,0.0260041699222481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21125200.0,16.865977245955147
1997.0,Spain,40057389.0,1228194152048.47,30660.86,Europe & Central Asia,High income,27.836566037431147,774.8744087562652,0.037024946271662,1.8170703597637448,10.330774815947771,106.72490829782072,0.0326873773170819,1.8848573174767835,17.50582373380785,306.4538645991503,0.004199990513878,1.40970546094967,4.0,2,4,0.8652230818455633,0.0260252556914263,1.1850006978332948,0.004265748949899,1.5368530376525615,0.0304018342581525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22174400.0,16.914449073393723
1998.0,Spain,40223509.0,1282149958363.48,31875.64,Europe & Central Asia,High income,27.879559439789496,777.2698345567555,0.0439310073452301,1.898156775483416,10.369628732117564,107.5292000419581,0.0396198932450035,1.964264570038957,17.50996220851589,306.5987765436547,0.0041470501235114,1.435848761402948,4.0,3,4,0.8635256047175209,0.031548636041282,1.1905722388381477,0.0041736283152707,1.5841725793514063,0.0358538565532834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22423000.0,16.92559782035273
1999.0,Spain,40386875.0,1339725586635.0,33172.3,Europe & Central Asia,High income,27.923485922827297,779.7210660823342,0.0449055337840582,1.918527639626425,10.40950061448124,108.35770304288532,0.0406787126470247,1.973192564980458,17.514015438670558,306.7407367859907,0.0040614557024352,1.45623632802846,4.0,3,4,0.8962344743578703,0.0376619944030367,1.1965119235709682,0.0041361654466082,1.619274056382327,0.0419538291336501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24470000.0,17.01295847628522
